m,n,delta,eps,cert_lo,cert_hi,interval_width,lambda_size,lambda_is_full_set,published_analogue
22,1,1/20,1/5,0.817359996685,0.817359996685,0.0e+00,20,0,none-MD-plot-only-Fig2
22,4,1/20,1/5,0.886382412994,0.886382412994,0.0e+00,22,0,none-MD-plot-only-Fig2
22,64,1/20,1/5,0.936535092795,0.936535092795,0.0e+00,23,1,none-MD-plot-only-Fig2
22,1024,1/20,1/5,0.936320740814,0.936320740814,0.0e+00,23,1,none-MD-plot-only-Fig2
22,inf,1/20,1/5,0.936306450682,0.936306450682,0.0e+00,23,1,none-MD-plot-only-Fig2
22,1,1/2,1/5,0.289042725958,0.289042725958,0.0e+00,11,0,none-MD-plot-only-Fig2
22,4,1/2,1/5,0.304304297876,0.304304297876,0.0e+00,13,0,none-MD-plot-only-Fig2
22,64,1/2,1/5,0.347428021976,0.347428021976,0.0e+00,17,0,none-MD-plot-only-Fig2
22,1024,1/2,1/5,0.360940546462,0.360940546462,0.0e+00,19,0,none-MD-plot-only-Fig2
22,inf,1/2,1/5,0.366507447958,0.366507447958,0.0e+00,23,1,none-MD-plot-only-Fig2
22,1,4/5,1/5,0.131003973789,0.131003973789,0.0e+00,5,0,none-MD-plot-only-Fig2
22,4,4/5,1/5,0.133565579334,0.133565579334,0.0e+00,7,0,none-MD-plot-only-Fig2
22,64,4/5,1/5,0.142005059480,0.142005059480,0.0e+00,9,0,none-MD-plot-only-Fig2
22,1024,4/5,1/5,0.146169768905,0.146169768905,0.0e+00,12,0,none-MD-plot-only-Fig2
22,inf,4/5,1/5,0.147062148309,0.147062148309,0.0e+00,23,1,none-MD-plot-only-Fig2
23,1,1/20,1/5,0.813312058219,0.813312058219,0.0e+00,15,0,none-MD-plot-only-Fig2
23,4,1/20,1/5,0.870681232927,0.870681232927,0.0e+00,23,0,none-MD-plot-only-Fig2
23,64,1/20,1/5,0.936201872952,0.936201872952,0.0e+00,24,1,none-MD-plot-only-Fig2
23,1024,1/20,1/5,0.935996840623,0.935996840623,0.0e+00,24,1,none-MD-plot-only-Fig2
23,inf,1/20,1/5,0.935983171801,0.935983171801,0.0e+00,24,1,none-MD-plot-only-Fig2
23,1,1/2,1/5,0.287623258282,0.287623258282,0.0e+00,12,0,none-MD-plot-only-Fig2
23,4,1/2,1/5,0.302927244372,0.302927244372,0.0e+00,14,0,none-MD-plot-only-Fig2
23,64,1/2,1/5,0.339362931458,0.339362931458,0.0e+00,17,0,none-MD-plot-only-Fig2
23,1024,1/2,1/5,0.354709037137,0.354709037137,0.0e+00,19,0,none-MD-plot-only-Fig2
23,inf,1/2,1/5,0.363333592246,0.363333592246,0.0e+00,24,1,none-MD-plot-only-Fig2
23,1,4/5,1/5,0.129152554876,0.129152554876,0.0e+00,5,0,none-MD-plot-only-Fig2
23,4,4/5,1/5,0.130570433590,0.130570433590,0.0e+00,7,0,none-MD-plot-only-Fig2
23,64,4/5,1/5,0.141260058812,0.141260058812,0.0e+00,10,0,none-MD-plot-only-Fig2
23,1024,4/5,1/5,0.144509521188,0.144509521188,0.0e+00,12,0,none-MD-plot-only-Fig2
23,inf,4/5,1/5,0.145077949327,0.145077949327,0.0e+00,24,1,none-MD-plot-only-Fig2
