m,n,delta,eps,their_printed,cert_lo,cert_hi,interval_width,ball_radius,gap_printed_minus_cert,lambda_size,lambda_is_full_set,lambda_search,truncation_order,tail_bound,E_provenance
5,1,1/5,1/5,0.71688,0.716878443444,0.716878443444,0.0e+00,1.914e-120,1.55656e-06,5,0,exhaustive,none-finite-closed-form,0,"brute-force MACHINE-VERIFIED"
5,2,1/5,1/5,0.69929,0.699288066717,0.699288066717,0.0e+00,2.131e-120,1.93328e-06,5,0,exhaustive,none-finite-closed-form,0,"brute-force MACHINE-VERIFIED"
5,4,1/5,1/5,0.81882,0.818813153704,0.818813153704,0.0e+00,2.481e-120,6.84630e-06,6,1,exhaustive,none-finite-closed-form,0,"brute-force MACHINE-VERIFIED"
5,8,1/5,1/5,0.81077,0.810764951332,0.810764951332,0.0e+00,2.837e-120,5.04867e-06,6,1,exhaustive,none-finite-closed-form,0,"brute-force MACHINE-VERIFIED"
5,16,1/5,1/5,0.80675,0.806740850146,0.806740850146,0.0e+00,2.822e-120,9.14985e-06,6,1,exhaustive,none-finite-closed-form,0,"brute-force MACHINE-VERIFIED"
5,32,1/5,1/5,0.80473,0.804728799553,0.804728799553,0.0e+00,2.427e-120,1.20045e-06,6,1,exhaustive,none-finite-closed-form,0,"brute-force MACHINE-VERIFIED"
5,64,1/5,1/5,0.80373,0.803722774257,0.803722774257,0.0e+00,2.810e-120,7.22574e-06,6,1,exhaustive,none-finite-closed-form,0,"brute-force MACHINE-VERIFIED"
5,128,1/5,1/5,0.80323,0.803219761608,0.803219761608,0.0e+00,2.808e-120,1.02384e-05,6,1,exhaustive,none-finite-closed-form,0,"brute-force MACHINE-VERIFIED"
5,256,1/5,1/5,0.80297,0.802968255284,0.802968255284,0.0e+00,2.807e-120,1.74472e-06,6,1,exhaustive,none-finite-closed-form,0,"brute-force MACHINE-VERIFIED"
5,512,1/5,1/5,0.80285,0.802842502122,0.802842502122,0.0e+00,2.420e-120,7.49788e-06,6,1,exhaustive,none-finite-closed-form,0,"brute-force MACHINE-VERIFIED"
5,1024,1/5,1/5,0.80279,0.802779625541,0.802779625541,0.0e+00,2.807e-120,1.03745e-05,6,1,exhaustive,none-finite-closed-form,0,"brute-force MACHINE-VERIFIED"
5,inf,1/5,1/5,0.80272,0.802716748960,0.802716748960,0.0e+00,2.187e-120,3.25104e-06,6,1,exhaustive,none-finite-closed-form,0,"brute-force MACHINE-VERIFIED"
22,1,1/5,1/5,0.55239,0.552386978021,0.552386978021,0.0e+00,1.682e-120,3.02198e-06,18,0,all-8388608-subsets-float-ranked+top24-certified,none-finite-closed-form,0,"typed from MD Table I (CITED-DEPENDENCY; w in {0,1,2,m} independently re-derived)"
22,2,1/5,1/5,0.58012,0.580116681546,0.580116681546,0.0e+00,1.828e-120,3.31845e-06,19,0,all-8388608-subsets-float-ranked+top24-certified,none-finite-closed-form,0,"typed from MD Table I (CITED-DEPENDENCY; w in {0,1,2,m} independently re-derived)"
22,4,1/5,1/5,0.61719,0.617188642371,0.617188642371,0.0e+00,1.822e-120,1.35763e-06,20,0,all-8388608-subsets-float-ranked+top24-certified,none-finite-closed-form,0,"typed from MD Table I (CITED-DEPENDENCY; w in {0,1,2,m} independently re-derived)"
22,8,1/5,1/5,0.62095,0.620945857400,0.620945857400,0.0e+00,1.826e-120,4.14260e-06,20,0,all-8388608-subsets-float-ranked+top24-certified,none-finite-closed-form,0,"typed from MD Table I (CITED-DEPENDENCY; w in {0,1,2,m} independently re-derived)"
22,16,1/5,1/5,0.65946,0.659455952819,0.659455952819,0.0e+00,1.820e-120,4.04718e-06,21,0,all-8388608-subsets-float-ranked+top24-certified,none-finite-closed-form,0,"typed from MD Table I (CITED-DEPENDENCY; w in {0,1,2,m} independently re-derived)"
22,32,1/5,1/5,0.66391,0.663899600627,0.663899600627,0.0e+00,1.826e-120,1.03994e-05,21,0,all-8388608-subsets-float-ranked+top24-certified,none-finite-closed-form,0,"typed from MD Table I (CITED-DEPENDENCY; w in {0,1,2,m} independently re-derived)"
22,64,1/5,1/5,0.70137,0.701368303719,0.701368303719,0.0e+00,1.839e-120,1.69628e-06,22,0,all-8388608-subsets-float-ranked+top24-certified,none-finite-closed-form,0,"typed from MD Table I (CITED-DEPENDENCY; w in {0,1,2,m} independently re-derived)"
22,128,1/5,1/5,0.70135,0.701343088728,0.701343088728,0.0e+00,1.839e-120,6.91127e-06,22,0,all-8388608-subsets-float-ranked+top24-certified,none-finite-closed-form,0,"typed from MD Table I (CITED-DEPENDENCY; w in {0,1,2,m} independently re-derived)"
22,256,1/5,1/5,0.73575,0.735743402738,0.735743402738,0.0e+00,2.427e-120,6.59726e-06,23,1,all-8388608-subsets-float-ranked+top24-certified,none-finite-closed-form,0,"typed from MD Table I (CITED-DEPENDENCY; w in {0,1,2,m} independently re-derived)"
22,512,1/5,1/5,0.73572,0.735714822474,0.735714822474,0.0e+00,2.427e-120,5.17753e-06,23,1,all-8388608-subsets-float-ranked+top24-certified,none-finite-closed-form,0,"typed from MD Table I (CITED-DEPENDENCY; w in {0,1,2,m} independently re-derived)"
22,1024,1/5,1/5,0.73571,0.735700532342,0.735700532342,0.0e+00,2.427e-120,9.46766e-06,23,1,all-8388608-subsets-float-ranked+top24-certified,none-finite-closed-form,0,"typed from MD Table I (CITED-DEPENDENCY; w in {0,1,2,m} independently re-derived)"
22,inf,1/5,1/5,0.73569,0.735686242210,0.735686242210,0.0e+00,1.864e-120,3.75779e-06,23,1,all-8388608-subsets-float-ranked+top24-certified,none-finite-closed-form,0,"typed from MD Table I (CITED-DEPENDENCY; w in {0,1,2,m} independently re-derived)"
23,1,1/5,1/5,0.54775,0.547744464679,0.547744464679,0.0e+00,1.428e-120,5.53532e-06,18,0,all-16777216-subsets-float-ranked+top24-certified,none-finite-closed-form,0,"typed from MD Table I (CITED-DEPENDENCY; w in {0,1,2,m} independently re-derived)"
23,2,1/5,1/5,0.57346,0.573458284254,0.573458284254,0.0e+00,1.662e-120,1.71575e-06,19,0,all-16777216-subsets-float-ranked+top24-certified,none-finite-closed-form,0,"typed from MD Table I (CITED-DEPENDENCY; w in {0,1,2,m} independently re-derived)"
23,4,1/5,1/5,0.59406,0.594058452677,0.594058452677,0.0e+00,1.788e-120,1.54732e-06,20,0,all-16777216-subsets-float-ranked+top24-certified,none-finite-closed-form,0,"typed from MD Table I (CITED-DEPENDENCY; w in {0,1,2,m} independently re-derived)"
23,8,1/5,1/5,0.62193,0.621920950561,0.621920950561,0.0e+00,1.757e-120,9.04944e-06,21,0,all-16777216-subsets-float-ranked+top24-certified,none-finite-closed-form,0,"typed from MD Table I (CITED-DEPENDENCY; w in {0,1,2,m} independently re-derived)"
23,16,1/5,1/5,0.66192,0.661911944360,0.661911944360,0.0e+00,1.784e-120,8.05564e-06,22,0,all-16777216-subsets-float-ranked+top24-certified,none-finite-closed-form,0,"typed from MD Table I (CITED-DEPENDENCY; w in {0,1,2,m} independently re-derived)"
23,32,1/5,1/5,0.66262,0.662617691702,0.662617691702,0.0e+00,1.784e-120,2.30830e-06,22,0,all-16777216-subsets-float-ranked+top24-certified,none-finite-closed-form,0,"typed from MD Table I (CITED-DEPENDENCY; w in {0,1,2,m} independently re-derived)"
23,64,1/5,1/5,0.70186,0.701850936477,0.701850936477,0.0e+00,2.340e-120,9.06352e-06,23,0,all-16777216-subsets-float-ranked+top24-certified,none-finite-closed-form,0,"typed from MD Table I (CITED-DEPENDENCY; w in {0,1,2,m} independently re-derived)"
23,128,1/5,1/5,0.70179,0.701784963566,0.701784963566,0.0e+00,2.340e-120,5.03643e-06,23,0,all-16777216-subsets-float-ranked+top24-certified,none-finite-closed-form,0,"typed from MD Table I (CITED-DEPENDENCY; w in {0,1,2,m} independently re-derived)"
