n,k,cert_lo,cert_hi,interval_width,ball_radius_primal,ball_radius_dual,route2_mpmath_lo,route2_mpmath_hi,routes_overlap,published_analogue,truncation_order,tail_bound,verdict
6,1,1.000000000000,1.000000000000,0.0000e+00,1.257e-120,1.257e-120,1.0000000000,1.0000000000,1,none-PR-publish-only-n29-n31,none-exact-full-channel,0,TWO_ROUTES_OVERLAP
6,2,1.269269122852,1.269269122854,1.2550e-12,7.575e-120,3.058e-120,1.2692691229,1.2692692062,1,none-PR-publish-only-n29-n31,none-exact-full-channel,0,TWO_ROUTES_OVERLAP
6,3,1.766074873247,1.766074873254,7.5353e-12,1.498e-119,9.373e-120,1.7660748732,1.7660749710,1,none-PR-publish-only-n29-n31,none-exact-full-channel,0,TWO_ROUTES_OVERLAP
6,4,2.426870112529,2.426870112542,1.3365e-11,4.899e-119,1.320e-119,2.4268701125,2.4268702657,1,none-PR-publish-only-n29-n31,none-exact-full-channel,0,TWO_ROUTES_OVERLAP
6,5,3.619424575304,3.619424575325,2.1488e-11,1.012e-118,1.129e-119,3.6194245753,3.6194249318,1,none-PR-publish-only-n29-n31,none-exact-full-channel,0,TWO_ROUTES_OVERLAP
6,6,6.000000000000,6.000000000000,0.0000e+00,1.176e-119,1.176e-119,6.0000000000,6.0000000000,1,none-PR-publish-only-n29-n31,none-exact-full-channel,0,TWO_ROUTES_OVERLAP
7,1,1.000000000000,1.000000000000,0.0000e+00,1.257e-120,1.257e-120,1.0000000000,1.0000000000,1,none-PR-publish-only-n29-n31,none-exact-full-channel,0,TWO_ROUTES_OVERLAP
7,2,1.248269790687,1.248269790689,2.1645e-12,9.909e-120,7.842e-120,1.2482697907,1.2482698610,1,none-PR-publish-only-n29-n31,none-exact-full-channel,0,TWO_ROUTES_OVERLAP
7,3,1.697264176241,1.697277863655,1.3687e-05,3.243e-119,9.182e-120,1.6972624598,1.6972998886,1,none-PR-publish-only-n29-n31,none-exact-full-channel,0,TWO_ROUTES_OVERLAP
7,4,2.223371613331,2.223863526768,4.9191e-04,9.601e-119,1.109e-119,2.2233659583,2.2237210370,1,none-PR-publish-only-n29-n31,none-exact-full-channel,0,TWO_ROUTES_OVERLAP
7,5,3.036415099430,3.036531258065,1.1616e-04,2.080e-118,1.728e-119,3.0364076621,3.0366136279,1,none-PR-publish-only-n29-n31,none-exact-full-channel,0,TWO_ROUTES_OVERLAP
7,6,4.407495581957,4.407498791723,3.2098e-06,3.725e-118,1.975e-119,4.4074951052,4.4075092683,1,none-PR-publish-only-n29-n31,none-exact-full-channel,0,TWO_ROUTES_OVERLAP
7,7,7.000000000000,7.000000000000,0.0000e+00,2.588e-118,1.246e-119,7.0000000000,7.0000000000,1,none-PR-publish-only-n29-n31,none-exact-full-channel,0,TWO_ROUTES_OVERLAP
8,1,1.000000000000,1.000000000000,0.0000e+00,1.257e-120,1.257e-120,1.0000000000,1.0000000000,1,none-PR-publish-only-n29-n31,none-exact-full-channel,0,TWO_ROUTES_OVERLAP
8,2,1.238753599894,1.238753599898,3.6120e-12,7.347e-120,8.523e-120,1.2387535999,1.2387536015,1,none-PR-publish-only-n29-n31,none-exact-full-channel,0,TWO_ROUTES_OVERLAP
8,3,1.663580249978,1.663580251845,1.8674e-09,2.648e-119,9.326e-120,1.6635802440,1.6635803766,1,none-PR-publish-only-n29-n31,none-exact-full-channel,0,TWO_ROUTES_OVERLAP
8,4,2.109736840960,2.109736841040,8.0619e-11,7.399e-119,9.738e-120,2.1097368394,2.1097372036,1,none-PR-publish-only-n29-n31,none-exact-full-channel,0,TWO_ROUTES_OVERLAP
8,5,2.741076532656,2.741146052469,6.9520e-05,2.215e-118,1.691e-119,2.7410669201,2.7411950041,1,none-PR-publish-only-n29-n31,none-exact-full-channel,0,TWO_ROUTES_OVERLAP
8,6,3.683507249090,3.683529389303,2.2140e-05,6.648e-118,1.494e-119,3.6834995084,3.6835669339,1,none-PR-publish-only-n29-n31,none-exact-full-channel,0,TWO_ROUTES_OVERLAP
8,7,5.224341055845,5.224574190754,2.3313e-04,1.285e-117,2.253e-119,5.2243233019,5.2246876578,1,none-PR-publish-only-n29-n31,none-exact-full-channel,0,TWO_ROUTES_OVERLAP
8,8,8.000000000000,8.000000000000,0.0000e+00,1.006e-119,1.006e-119,8.0000000000,8.0000000000,1,none-PR-publish-only-n29-n31,none-exact-full-channel,0,TWO_ROUTES_OVERLAP
9,1,1.000000000000,1.000000000000,0.0000e+00,1.257e-120,1.257e-120,1.0000000000,1.0000000000,1,none-PR-publish-only-n29-n31,none-exact-full-channel,0,TWO_ROUTES_OVERLAP
9,2,1.227806455819,1.227806455822,3.3968e-12,9.224e-120,8.375e-120,,,,none-PR-publish-only-n29-n31,none-exact-full-channel,0,FASTPATH_ONLY_no_mpmath_row
