q,n,d,their_LB1,their_LBplus,their_UB,cert_lo_per_symbol,cert_hi_per_symbol,interval_width_per_symbol,primal_ball_radius,dual_ball_radius,truncation_order,tail_bound,arb_prec_bits,snap_denom_in,snap_denom_out,nX,nY,verdict
2,2,1/2,-0.5000000000,0.3750000000,0.5000000000,0.415241011861,0.415241012533,6.7181e-10,3.099e-120,1.780e-120,none-exact-full-channel,0,400,1073741824,1073741824,4,7,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
2,3,1/10,0.4310044064,0.8245150312,0.9000000000,0.827679159359,0.827679161494,2.1352e-09,3.203e-119,9.943e-120,none-exact-full-channel,0,400,1073741824,1073741824,8,15,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
2,3,1/2,-0.5000000000,0.3069861978,0.5000000000,0.365269059079,0.365269061299,2.2197e-09,1.472e-119,4.035e-120,none-exact-full-channel,0,400,1073741824,1073741824,8,15,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
2,3,1/20,0.6636030429,0.9097648776,0.9500000000,0.910574224346,0.910574224638,2.9164e-10,3.772e-119,1.045e-119,none-exact-full-channel,0,400,1073741824,1073741824,8,15,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
2,3,1/5,0.0780719051,0.6684711666,0.8000000000,0.680473561180,0.680473562423,1.2434e-09,2.965e-119,9.289e-120,none-exact-full-channel,0,400,1073741824,1073741824,8,15,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
2,4,1/2,-0.5000000000,0.2641506103,0.5000000000,0.332341253207,0.332341258487,5.2802e-09,4.315e-119,5.473e-120,none-exact-full-channel,0,400,1073741824,1073741824,16,31,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
2,5,1/10,0.4310044064,0.7822935972,0.9000000000,0.787495955250,0.787495959353,4.1037e-09,4.540e-118,1.475e-119,none-exact-full-channel,0,400,1073741824,1073741824,32,63,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
2,5,1/2,-0.5000000000,0.2346345462,0.5000000000,0.308784179629,0.308784201535,2.1906e-08,1.858e-118,1.023e-119,none-exact-full-channel,0,400,1073741824,1073741824,32,63,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
2,5,1/20,0.6636030429,0.8861981288,0.9500000000,0.887557899296,0.887557902660,3.3632e-09,4.969e-118,1.600e-119,none-exact-full-channel,0,400,1073741824,1073741824,32,63,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
2,5,1/5,0.0780719051,0.6015500569,0.8000000000,0.620298060066,0.620298067913,7.8470e-09,3.845e-118,1.337e-119,none-exact-full-channel,0,400,1073741824,1073741824,32,63,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
2,6,1/2,-0.5000000000,0.2130011116,0.5000000000,0.290941571268,0.290941730723,1.5946e-07,6.048e-118,1.191e-119,none-exact-full-channel,0,400,1073741824,1073741824,64,127,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
2,7,1/2,-0.5000000000,0.1964113871,0.5000000000,0.276852921932,0.276853160960,2.3903e-07,2.368e-117,2.401e-119,none-exact-full-channel,0,400,1073741824,1073741824,128,255,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
2,8,1/2,-0.5000000000,0.1832429513,0.5000000000,0.265375770757,0.265382498809,6.7281e-06,7.213e-117,4.109e-119,none-exact-full-channel,0,400,1073741824,1073741824,256,511,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
2,10,1/10,0.4310044064,0.7224765727,0.9000000000,0.730086454782,0.730086624254,1.6947e-07,2.390e-115,2.489e-119,none-exact-full-channel,0,400,1073741824,1073741824,1024,2047,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
2,10,1/20,0.6636030429,0.8509880470,0.9500000000,0.852997768881,0.852997905843,1.3696e-07,2.599e-115,3.369e-119,none-exact-full-channel,0,400,1073741824,1073741824,1024,2047,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
2,10,1/5,0.0780719051,0.5157310717,0.8000000000,0.542096537489,0.542096779782,2.4229e-07,1.784e-115,8.349e-119,none-exact-full-channel,0,400,1073741824,1073741824,1024,2047,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
3,2,1/2,-0.2075187496,0.6258145837,0.7924812504,0.667481250361,0.667481251368,1.0077e-09,1.111e-119,3.099e-120,none-exact-full-channel,0,400,1073741824,1073741824,9,13,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
3,3,1/10,0.9574706571,1.3276692506,1.4264662506,1.330307006471,1.330307014320,7.8491e-09,1.532e-118,1.183e-119,none-exact-full-channel,0,400,1073741824,1073741824,27,40,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
3,3,1/2,-0.2075187496,0.5328599539,0.7924812504,0.594406224780,0.594406260821,3.6041e-08,7.366e-119,4.326e-120,none-exact-full-channel,0,400,1073741824,1073741824,27,40,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
3,3,1/20,1.2193174186,1.4532196627,1.5057143757,1.453878938312,1.453878943385,5.0722e-09,1.716e-118,1.669e-119,none-exact-full-channel,0,400,1073741824,1073741824,27,40,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
3,3,1/5,0.5460419057,1.0947012597,1.2679700006,1.105231692662,1.105231698931,6.2697e-09,1.370e-118,1.293e-119,none-exact-full-channel,0,400,1073741824,1073741824,27,40,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
3,4,1/2,-0.2075187496,0.4732526190,0.7924812504,0.546348770484,0.546348924953,1.5447e-07,4.682e-118,8.517e-120,none-exact-full-channel,0,400,1073741824,1073741824,81,121,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
3,5,1/10,0.9574706571,1.2765392691,1.4264662506,1.280432698374,1.280432726592,2.8218e-08,7.844e-117,2.522e-119,none-exact-full-channel,0,400,1073741824,1073741824,243,364,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
3,5,1/2,-0.2075187496,0.4315595536,0.7924812504,0.512042239779,0.512043063783,8.2400e-07,2.837e-117,1.579e-119,none-exact-full-channel,0,400,1073741824,1073741824,243,364,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
3,5,1/20,1.2193174186,1.4250825504,1.5057143757,1.426057397721,1.426057433564,3.5843e-08,8.547e-117,2.397e-119,none-exact-full-channel,0,400,1073741824,1073741824,243,364,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
3,5,1/5,0.5460419057,1.0111275478,1.2679700006,1.026499716791,1.026499761794,4.5003e-08,6.337e-117,2.471e-119,none-exact-full-channel,0,400,1073741824,1073741824,243,364,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
4,3,1/2,0.0000000000,0.7066494139,1.0000000000,0.764131514170,0.764131527231,1.3062e-08,2.338e-118,6.809e-120,none-exact-full-channel,0,400,1073741824,1073741824,64,85,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
4,4,1/2,0.0000000000,0.6382628875,1.0000000000,0.707114443855,0.707114894722,4.5087e-07,2.511e-117,1.203e-119,none-exact-full-channel,0,400,1073741824,1073741824,256,341,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
