q,n,d,printed_LB1,computed_LB1,LB1_printed_minus_computed,printed_LBplus,computed_LBplus,LBplus_printed_minus_computed,printed_UB,computed_UB,UB_printed_minus_computed,printed_C_BA,cert_lo,cert_hi,cert_width,cert_lo_minus_printed_C_BA
2,3,1/10,0.431,0.431004406,-0.000004,0.825,0.824515031,+0.000485,0.9,0.900000000,+0.000000,0.827,0.827679159,0.827679161,2.135e-09,+0.000679
2,3,1/20,0.664,0.663603043,+0.000397,0.91,0.909764878,+0.000235,0.95,0.950000000,+0.000000,0.91,0.910574224,0.910574225,2.916e-10,+0.000574
2,3,1/5,0.078,0.078071905,-0.000072,0.668,0.668471167,-0.000471,0.8,0.800000000,+0.000000,0.676,0.680473561,0.680473562,1.243e-09,+0.004474
2,5,1/10,0.431,0.431004406,-0.000004,0.782,0.782293597,-0.000294,0.9,0.900000000,+0.000000,0.786,0.787495955,0.787495959,4.104e-09,+0.001496
2,5,1/20,0.664,0.663603043,+0.000397,0.886,0.886198129,-0.000198,0.95,0.950000000,+0.000000,0.887,0.887557899,0.887557903,3.363e-09,+0.000558
2,5,1/5,0.078,0.078071905,-0.000072,0.602,0.601550057,+0.000450,0.8,0.800000000,+0.000000,0.613,0.620298060,0.620298068,7.847e-09,+0.007298
2,10,1/10,0.431,0.431004406,-0.000004,0.722,0.722476573,-0.000477,0.9,0.900000000,+0.000000,0.728,0.730086455,0.730086624,1.695e-07,+0.002086
2,10,1/20,0.664,0.663603043,+0.000397,0.851,0.850988047,+0.000012,0.95,0.950000000,+0.000000,0.852,0.852997769,0.852997906,1.370e-07,+0.000998
2,10,1/5,0.078,0.078071905,-0.000072,0.516,0.515731072,+0.000269,0.8,0.800000000,+0.000000,0.531,0.542096537,0.542096780,2.423e-07,+0.011097
3,3,1/10,0.957,0.957470657,-0.000471,1.328,1.327669251,+0.000331,1.426,1.426466251,-0.000466,1.329,1.330307006,1.330307014,7.849e-09,+0.001307
3,3,1/20,1.219,1.219317419,-0.000317,1.453,1.453219663,-0.000220,1.506,1.505714376,+0.000286,1.454,1.453878938,1.453878943,5.072e-09,-0.000121
3,3,1/5,0.546,0.546041906,-0.000042,1.095,1.094701260,+0.000299,1.268,1.267970001,+0.000030,1.101,1.105231693,1.105231699,6.270e-09,+0.004232
3,5,1/10,0.957,0.957470657,-0.000471,1.276,1.276539269,-0.000539,1.426,1.426466251,-0.000466,1.279,1.280432698,1.280432727,2.822e-08,+0.001433
3,5,1/20,1.219,1.219317419,-0.000317,1.425,1.425082550,-0.000083,1.506,1.505714376,+0.000286,1.426,1.426057398,1.426057434,3.584e-08,+0.000057
3,5,1/5,0.546,0.546041906,-0.000042,1.011,1.011127548,-0.000128,1.268,1.267970001,+0.000030,1.02,1.026499717,1.026499762,4.500e-08,+0.006500
3,10,1/10,0.957,0.957470657,-0.000471,1.208,,,1.426,1.426466251,-0.000466,1.212,,,,
3,10,1/20,1.219,1.219317419,-0.000317,1.386,,,1.506,1.505714376,+0.000286,1.387,,,,
3,10,1/5,0.546,0.546041906,-0.000042,0.908,,,1.268,1.267970001,+0.000030,0.92,,,,
