n,d,certified_lower_outward_decimal,certified_upper_outward_decimal,certified_width_upper_outward_decimal,lbplus_report_float,ub_report_float,lower_gain_report_float,upper_gain_report_float,legacy_mixed_output_orbits,dual_from,verdict
6,1/10,1.262451538526818,1.2624515509732321,1.2446413657816448e-08,1.2581814953770418,1.4264662506490406,0.004270043149776475,0.16401469967580856,1,ba_total_orbit_mass,CERT_UPPER_BEATS_UB+CERT_LOWER_BEATS_LBplus
6,1/2,0.48612690873525893,0.48612726836569464,3.5963043559742424e-07,0.40060332584045044,0.792481250360578,0.08552358289480856,0.3063539819948835,0,ba_total_orbit_mass,CERT_UPPER_BEATS_UB+CERT_LOWER_BEATS_LBplus
6,1/20,1.4158072326903546,1.4158072449168306,1.2226475645090283e-08,1.4147394004602944,1.5057143756850984,0.0010678322300603134,0.08990713076826795,1,ba_total_orbit_mass,CERT_UPPER_BEATS_UB+CERT_LOWER_BEATS_LBplus
6,1/5,0.9992805994038761,0.9992806185950381,1.919116167554878e-08,0.9824319317026479,1.267970000576925,0.016848667701228455,0.26868938198188697,1,ba_total_orbit_mass,CERT_UPPER_BEATS_UB+CERT_LOWER_BEATS_LBplus
7,1/10,1.2473597256274749,1.247359775851469,5.022399355970927e-08,1.242807561367964,1.4264662506490406,0.00455216425951107,0.17910647479757186,1,ba_total_orbit_mass,CERT_UPPER_BEATS_UB+CERT_LOWER_BEATS_LBplus
7,1/2,0.46572596820424017,0.46573204857053757,6.080366297333852e-06,0.37659804195210167,0.792481250360578,0.08912792625213854,0.3267492017900406,1,ba_total_orbit_mass,CERT_UPPER_BEATS_UB+CERT_LOWER_BEATS_LBplus
7,1/20,1.4070914100656966,1.4070914501217517,4.005605471757835e-08,1.4059546284421427,1.5057143756850984,0.0011367816235540147,0.09862292556334692,0,ba_total_orbit_mass,CERT_UPPER_BEATS_UB+CERT_LOWER_BEATS_LBplus
7,1/5,0.9769505177740003,0.976950563790745,4.6016744441483404e-08,0.9589826659881902,1.267970000576925,0.01796785178581026,0.2910194367861801,1,ba_total_orbit_mass,CERT_UPPER_BEATS_UB+CERT_LOWER_BEATS_LBplus
8,1/10,1.23445208950039,1.2344521805124733,9.101208270304075e-08,1.2296824472424424,1.4264662506490406,0.004769642257948053,0.19201407013656752,1,ba_total_orbit_mass,CERT_UPPER_BEATS_UB+CERT_LOWER_BEATS_LBplus
8,1/2,0.4491602653164887,0.44918246544877494,2.220013228610702e-05,0.3573598516128446,0.792481250360578,0.0918004137036442,0.3432987849118032,1,ba_total_orbit_mass,CERT_UPPER_BEATS_UB+CERT_LOWER_BEATS_LBplus
8,1/20,1.399541506237329,1.399541571855359,6.56180294580417e-08,1.3983519947475718,1.5057143756850984,0.0011895114897574545,0.1061728038297397,1,ba_total_orbit_mass,CERT_UPPER_BEATS_UB+CERT_LOWER_BEATS_LBplus
8,1/5,0.9582453246473193,0.9582455337027981,2.09055478620426e-07,0.9394059984112746,1.267970000576925,0.018839326236044698,0.309724466874127,1,ba_total_orbit_mass,CERT_UPPER_BEATS_UB+CERT_LOWER_BEATS_LBplus
9,1/10,1.2232499579738394,1.2232502176397095,2.5966586972603587e-07,1.2183083741135132,1.4264662506490406,0.004941583860326274,0.2032160330093313,1,ba_total_orbit_mass,CERT_UPPER_BEATS_UB+CERT_LOWER_BEATS_LBplus
9,1/2,0.43538141101923905,0.4353817875980781,3.765788389715567e-07,0.34154094038890015,0.792481250360578,0.09384047063033898,0.35709946276250004,1,ba_total_orbit_mass,CERT_UPPER_BEATS_UB+CERT_LOWER_BEATS_LBplus
9,1/20,1.3929068203510147,1.3929070242522732,2.03901257961709e-07,1.3916758637320488,1.5057143756850984,0.0012309566189662308,0.11280735143282546,1,ba_total_orbit_mass,CERT_UPPER_BEATS_UB+CERT_LOWER_BEATS_LBplus
9,1/5,0.9423194816428748,0.9423200290509085,5.474080334643068e-07,0.9227855922597197,1.267970000576925,0.019533889383155225,0.3256499715260166,0,ba_total_orbit_mass,CERT_UPPER_BEATS_UB+CERT_LOWER_BEATS_LBplus
10,1/10,1.2134129645213867,1.2134136998846528,7.353632655671914e-07,1.2083324241522206,1.4264662506490406,0.0050805403691664575,0.21305255076438798,1,ba_total_orbit_mass,CERT_UPPER_BEATS_UB+CERT_LOWER_BEATS_LBplus
10,1/2,0.4236997564364154,0.42370155403328696,1.7975968714839528e-06,0.3282640132134152,0.792481250360578,0.09543574322300025,0.3687796963272912,0,ba_total_orbit_mass,CERT_UPPER_BEATS_UB+CERT_LOWER_BEATS_LBplus
10,1/20,1.3870088535516931,1.387009425126998,5.715753042954663e-07,1.3857445436220928,1.5057143756850984,0.001264309929600585,0.11870495055810064,1,ba_total_orbit_mass,CERT_UPPER_BEATS_UB+CERT_LOWER_BEATS_LBplus
10,1/5,0.9285797540357409,0.9285822403778092,2.4863420681301732e-06,0.9084810528868343,1.267970000576925,0.0200987011489067,0.3393877601991158,1,ba_total_orbit_mass,CERT_UPPER_BEATS_UB+CERT_LOWER_BEATS_LBplus
