ordinal,n,d,status,lower_outward,upper_outward,width_upper_outward,dual_from,verdict
0,5,1/2,CERTIFIED,0.6664806108007938,0.6664806978587714,8.705797740570955e-08,ba_total_orbit_mass,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
1,5,1/5,CERTIFIED,1.3277006864199778,1.3277006950433863,8.623408079458642e-09,ba_total_orbit_mass,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
2,5,1/10,CERTIFIED,1.6380465841890821,1.638046590354154,6.165071504436472e-09,ba_total_orbit_mass,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
3,5,1/20,CERTIFIED,1.812336819003943,1.8123368449964559,2.5992512288507346e-08,ba_total_orbit_mass,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
4,6,1/2,CERTIFIED,0.6358515734372481,0.6358521206535938,5.47216345443326e-07,ba_total_orbit_mass,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
5,6,1/5,CERTIFIED,1.2979227045312098,1.2979227333476206,2.8816410510323828e-08,ba_total_orbit_mass,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
6,6,1/10,CERTIFIED,1.6189070156070138,1.6189070393689304,2.3761916190006316e-08,ba_total_orbit_mass,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
7,6,1/20,CERTIFIED,1.801553474543007,1.8015535054230871,3.088007948575566e-08,ba_total_orbit_mass,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
8,7,1/2,CERTIFIED,0.611799221875365,0.6118040734281766,4.851552811291828e-06,ba_total_orbit_mass,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
9,7,1/5,CERTIFIED,1.2736606165054785,1.2736607523151153,1.3580963632724146e-07,ba_total_orbit_mass,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
10,7,1/10,CERTIFIED,1.602961519916888,1.6029616108940126,9.097712407753996e-08,ba_total_orbit_mass,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
11,7,1/20,CERTIFIED,1.7924499270995096,1.792450151213695,2.241141850599111e-07,ba_total_orbit_mass,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
12,8,1/2,CERTIFIED,0.5923193309337754,0.5923424560693681,2.3125135592425783e-05,ba_total_orbit_mass,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
13,8,1/5,CERTIFIED,1.253452581576217,1.2534531084585532,5.268823357441099e-07,ba_total_orbit_mass,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
14,8,1/10,CERTIFIED,1.589402062820447,1.5894023890079079,3.261874603539729e-07,ba_total_orbit_mass,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
15,8,1/20,CERTIFIED,1.7846066171994794,1.7846067975948448,1.803953648481094e-07,ba_total_orbit_mass,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
16,9,1/2,CERTIFIED,0.5761595996416342,0.5761607360557939,1.136414159464924e-06,ba_total_orbit_mass,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
17,9,1/5,CERTIFIED,1.2363290100118065,1.2363309197159202,1.9097041134344336e-06,ba_total_orbit_mass,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
18,9,1/10,CERTIFIED,1.5776876705095761,1.5776899006080805,2.2300985039430338e-06,ba_total_orbit_mass,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
19,9,1/20,CERTIFIED,1.7777426950856503,1.7777433069921658,6.119065150642508e-07,ba_total_orbit_mass,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
20,10,1/2,CERTIFIED,0.562495856308736,0.5625006203492582,4.764040521997813e-06,ba_total_orbit_mass,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
21,10,1/5,CERTIFIED,1.2216151596360123,1.221624099427772,8.939791759484224e-06,ba_total_orbit_mass,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
22,10,1/10,CERTIFIED,1.567438365675021,1.5674413275691748,2.9618941532341816e-06,ba_total_orbit_mass,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
23,10,1/20,CERTIFIED,1.7716609170039264,1.771663270194063,2.3531901360821368e-06,ba_total_orbit_mass,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
