L,M,N,p,shots,n_logical,wer,n_fail_x,n_fail_z,wall_s,per_shot_ms,seed
12,6,144,0.34,20000,583,0.02915,327,340,3.4788052500225604,0.173940262501128,7980602248209556373
12,6,144,0.38,20000,2801,0.14005,1788,1785,6.606378166994546,0.33031890834972727,5538536306136072174
12,6,144,0.3655545536519387,20000,1606,0.0803,984,971,5.190734209027141,0.25953671045135707,1300843779583019617
12,6,144,0.3703173200629313,20000,1967,0.09835,1215,1234,5.654292082996108,0.28271460414980537,7131617604088847387
12,6,144,0.3707004476863405,20000,2092,0.1046,1272,1311,5.745515542046633,0.2872757771023316,13178227150850489407
18,9,324,0.42,20000,595,0.02975,384,359,46.29476766701555,2.3147383833507775,8103410729263902733
18,9,324,0.45999999999999996,20000,5623,0.28115,4212,4198,61.624158874969,3.08120794374845,12697613820601522225
18,9,324,0.43117740652346853,20000,1245,0.06225,837,816,52.054151249991264,2.602707562499563,6549839267967331654
18,9,324,0.43614795427924313,20000,1684,0.0842,1108,1132,54.30669166700682,2.715334583350341,4609381804537712411
18,9,324,0.43806144664983443,20000,1889,0.09445,1251,1305,55.004319624975324,2.750215981248766,11478867057590014480
18,9,324,0.43871361039430906,20000,1999,0.09995,1350,1341,55.12326854100684,2.756163427050342,1577236636240513526
18,9,324,0.4387194841221252,20000,2022,0.1011,1419,1333,55.34059645800153,2.7670298229000765,12245892640280526326
24,12,576,0.42,20000,188,0.0094,109,112,164.71007245901274,8.235503622950636,7311959905639378211
24,12,576,0.45999999999999996,20000,5112,0.2556,3852,3754,237.69206787500298,11.88460339375015,3821375832988219693
24,12,576,0.4347197400487408,20000,868,0.0434,544,539,197.05434308300028,9.852717154150014,15671139163416935257
24,12,576,0.4414627311573236,20000,1473,0.07365,964,978,211.73933245899389,10.586966622949696,17607518163253604039
24,12,576,0.4441472985330011,20000,1815,0.09075,1214,1225,220.84165633295197,11.042082816647598,11155421382872722678
24,12,576,0.4450368192401272,20000,1954,0.0977,1325,1336,223.8119988749968,11.19059994374984,1053874473395536087
24,12,576,0.445254775641316,20000,1971,0.09855,1331,1349,223.8347991249757,11.191739956248783,16039184699352715450
24,12,576,0.44539091429346556,20000,1995,0.09975,1363,1320,224.02697566599818,11.20134878329991,2759822301319096136
24,12,576,0.4454143488229916,20000,1970,0.0985,1333,1344,222.8725810420001,11.143629052100005,17508696790121951146
24,12,576,0.44555361347458616,20000,2003,0.10015,1389,1341,225.44848520797677,11.27242426039884,18422847008536855462
30,15,900,0.45999999999999996,20000,890,0.0445,628,594,866.8630850840127,43.343154254200634,5517796333259286816
30,15,900,0.49999999999999994,20000,14245,0.71225,12649,12612,795.1725774160004,39.75862887080002,8965750352700633964
30,15,900,0.46332459752901534,20000,1266,0.0633,902,871,841.504609708034,42.0752304854017,16578155286077596695
30,15,900,0.4653986976456424,20000,1687,0.08435,1206,1190,848.8829194169957,42.44414597084978,8665560481432097088
30,15,900,0.4662611126509708,20000,1809,0.09045,1283,1266,845.6835970410029,42.284179852050144,1907851879679935097
30,15,900,0.4667792959481455,20000,1838,0.0919,1304,1303,847.0454631249886,42.35227315624943,95823844023400803
30,15,900,0.46721306350326763,20000,1918,0.0959,1328,1350,846.7031193749863,42.33515596874932,2727924474297153887
30,15,900,0.4674311643220177,20000,1991,0.09955,1447,1390,849.4376272500376,42.471881362501875,8347805530459193236
30,15,900,0.4674550846354747,20000,1941,0.09705,1360,1404,845.2534034170094,42.26267017085047,10405419294606873412
36,18,1296,0.45999999999999996,20000,441,0.02205,287,279,2173.7283511669957,108.68641755834979,13725949210349970793
36,18,1296,0.49999999999999994,20000,15126,0.7563,13643,13706,1963.022297166055,98.15111485830276,15181145935165483429
36,18,1296,0.4642465100442628,20000,901,0.04505,598,610,2221.4521499170223,111.07260749585112,18032184912385273155
36,18,1296,0.46700876561272364,20000,1292,0.0646,881,895,2242.040242124989,112.10201210624946,5078137328267525887
36,18,1296,0.4686971994674433,20000,1588,0.0794,1141,1123,2245.670793541998,112.28353967709991,7928674349330812081
36,18,1296,0.46964983307797764,20000,1748,0.0874,1237,1229,2255.2777051670128,112.76388525835064,4487033651812004197
36,18,1296,0.47022153602792155,20000,1888,0.0944,1348,1348,2253.610613750003,112.68053068750014,16784750075277945470
36,18,1296,0.4704734764996599,20000,1957,0.09785,1395,1397,2252.16149495804,112.608074747902,16522944485279707113
36,18,1296,0.4705698878073154,20000,1964,0.0982,1406,1382,2254.788484416029,112.73942422080145,9846815503263767781
