shot,true_obs,ml_class,beam8_pred,bp30+osd_pred,nms-ens24_pred,beam8_regret,bp30+osd_regret,nms-ens24_regret
0,2,14,14,14,14,0.000000,0.000000,0.000000
1,0,0,0,0,0,0.000000,0.000000,0.000000
2,0,0,0,0,0,0.000000,0.000000,0.000000
3,8,8,8,8,8,0.000000,0.000000,0.000000
4,9,9,9,9,9,0.000000,0.000000,0.000000
5,0,0,0,0,0,0.000000,0.000000,0.000000
6,5,5,5,5,5,0.000000,0.000000,0.000000
7,0,0,0,0,0,0.000000,0.000000,0.000000
8,0,0,0,0,0,0.000000,0.000000,0.000000
9,11,10,10,11,10,0.000000,0.000000,0.000000
10,0,0,0,0,0,0.000000,0.000000,0.000000
11,0,0,0,0,0,0.000000,0.000000,0.000000
12,13,13,13,13,13,0.000000,0.000000,0.000000
13,0,0,0,0,0,0.000000,0.000000,0.000000
14,0,0,0,0,0,0.000000,0.000000,0.000000
15,0,0,0,0,0,0.000000,0.000000,0.000000
16,0,0,0,0,0,0.000000,0.000000,0.000000
17,0,0,0,0,0,0.000000,0.000000,0.000000
18,0,0,0,0,0,0.000000,0.000000,0.000000
19,0,0,0,0,0,0.000000,0.000000,0.000000
20,14,14,14,14,14,0.000000,0.000000,0.000000
21,0,0,0,0,0,0.000000,0.000000,0.000000
22,0,0,0,0,0,0.000000,0.000000,0.000000
23,0,0,0,0,0,0.000000,0.000000,0.000000
24,14,14,14,14,14,0.000000,0.000000,0.000000
25,0,0,0,0,0,0.000000,0.000000,0.000000
26,0,0,0,0,0,0.000000,0.000000,0.000000
27,9,9,9,9,9,0.000000,0.000000,0.000000
28,0,0,0,0,0,0.000000,0.000000,0.000000
29,0,0,0,0,0,0.000000,0.000000,0.000000
30,0,0,0,0,0,0.000000,0.000000,0.000000
31,4,4,4,4,4,0.000000,0.000000,0.000000
32,0,0,0,0,0,0.000000,0.000000,0.000000
33,0,0,0,0,0,0.000000,0.000000,0.000000
34,6,6,6,6,6,0.000000,0.000000,0.000000
35,11,11,11,11,11,0.000000,0.000000,0.000000
36,0,0,0,0,0,0.000000,0.000000,0.000000
37,4,4,4,4,4,0.000000,0.000000,0.000000
38,2,2,2,2,2,0.000000,0.000000,0.000000
39,0,0,0,0,0,0.000000,0.000000,0.000000
40,6,6,6,6,6,0.000000,0.000000,0.000000
41,0,0,0,0,0,0.000000,0.000000,0.000000
42,10,10,10,10,10,0.000000,0.000000,0.000000
43,8,8,8,8,8,0.000000,0.000000,0.000000
44,0,0,0,0,0,0.000000,0.000000,0.000000
45,6,6,6,6,6,0.000000,0.000000,0.000000
46,0,0,0,0,0,0.000000,0.000000,0.000000
47,0,0,0,0,0,0.000000,0.000000,0.000000
48,8,8,8,8,8,0.000000,0.000000,0.000000
49,0,0,0,0,0,0.000000,0.000000,0.000000
50,6,6,6,6,6,0.000000,0.000000,0.000000
51,8,8,8,8,8,0.000000,0.000000,0.000000
52,0,0,0,0,0,0.000000,0.000000,0.000000
53,0,0,0,0,0,0.000000,0.000000,0.000000
54,0,0,0,0,0,0.000000,0.000000,0.000000
55,7,7,7,7,7,0.000000,0.000000,0.000000
56,0,0,0,0,0,0.000000,0.000000,0.000000
57,4,4,4,4,4,0.000000,0.000000,0.000000
58,0,0,0,0,0,0.000000,0.000000,0.000000
59,0,0,0,0,0,0.000000,0.000000,0.000000
60,9,9,9,9,9,0.000000,0.000000,0.000000
61,0,0,0,0,0,0.000000,0.000000,0.000000
62,0,0,0,0,0,0.000000,0.000000,0.000000
63,15,15,15,15,15,0.000000,0.000000,0.000000
64,0,0,0,0,0,0.000000,0.000000,0.000000
65,0,0,0,0,0,0.000000,0.000000,0.000000
66,0,0,0,0,0,0.000000,0.000000,0.000000
67,15,15,15,15,15,0.000000,0.000000,0.000000
68,0,0,0,0,0,0.000000,0.000000,0.000000
69,0,0,0,0,0,0.000000,0.000000,0.000000
70,0,0,0,0,0,0.000000,0.000000,0.000000
71,0,0,0,0,0,0.000000,0.000000,0.000000
72,0,0,0,0,0,0.000000,0.000000,0.000000
73,0,0,0,0,0,0.000000,0.000000,0.000000
74,0,0,0,0,0,0.000000,0.000000,0.000000
75,0,0,0,0,0,0.000000,0.000000,0.000000
76,0,0,0,0,0,0.000000,0.000000,0.000000
77,0,0,0,0,0,0.000000,0.000000,0.000000
78,9,9,9,9,9,0.000000,0.000000,0.000000
79,0,0,0,0,0,0.000000,0.000000,0.000000
80,2,2,2,2,2,0.000000,0.000000,0.000000
81,10,10,10,10,10,0.000000,0.000000,0.000000
82,6,6,6,6,6,0.000000,0.000000,0.000000
83,0,0,0,0,0,0.000000,0.000000,0.000000
84,0,0,0,0,0,0.000000,0.000000,0.000000
85,6,6,6,6,6,0.000000,0.000000,0.000000
86,0,0,0,0,0,0.000000,0.000000,0.000000
87,0,0,0,0,0,0.000000,0.000000,0.000000
88,8,8,8,10,8,0.000000,7.776981,0.000000
89,0,0,0,0,0,0.000000,0.000000,0.000000
90,0,0,0,0,0,0.000000,0.000000,0.000000
91,0,0,0,0,0,0.000000,0.000000,0.000000
92,0,0,0,0,0,0.000000,0.000000,0.000000
93,0,0,0,0,0,0.000000,0.000000,0.000000
94,0,0,0,0,0,0.000000,0.000000,0.000000
95,0,0,0,0,0,0.000000,0.000000,0.000000
96,0,0,0,0,0,0.000000,0.000000,0.000000
97,0,0,0,0,0,0.000000,0.000000,0.000000
98,0,0,0,0,0,0.000000,0.000000,0.000000
99,1,1,1,1,1,0.000000,0.000000,0.000000
100,4,4,4,4,4,0.000000,0.000000,0.000000
101,0,0,0,0,0,0.000000,0.000000,0.000000
102,0,0,0,0,0,0.000000,0.000000,0.000000
103,15,15,15,15,15,0.000000,0.000000,0.000000
104,9,9,9,9,9,0.000000,0.000000,0.000000
105,0,0,8,0,0,6.683500,0.000000,0.000000
106,0,0,0,0,0,0.000000,0.000000,0.000000
107,0,0,0,0,0,0.000000,0.000000,0.000000
108,0,0,0,0,0,0.000000,0.000000,0.000000
109,12,12,12,12,12,0.000000,0.000000,0.000000
110,0,0,0,0,0,0.000000,0.000000,0.000000
111,5,5,5,5,5,0.000000,0.000000,0.000000
112,0,0,0,0,0,0.000000,0.000000,0.000000
113,0,0,0,0,0,0.000000,0.000000,0.000000
114,0,0,0,0,0,0.000000,0.000000,0.000000
115,0,0,0,0,0,0.000000,0.000000,0.000000
116,8,8,8,8,8,0.000000,0.000000,0.000000
117,8,8,8,8,8,0.000000,0.000000,0.000000
118,0,0,0,0,0,0.000000,0.000000,0.000000
119,0,0,0,0,0,0.000000,0.000000,0.000000
120,6,6,6,6,6,0.000000,0.000000,0.000000
121,0,0,0,0,0,0.000000,0.000000,0.000000
122,2,2,2,2,2,0.000000,0.000000,0.000000
123,0,0,0,0,0,0.000000,0.000000,0.000000
124,0,0,0,0,0,0.000000,0.000000,0.000000
125,9,9,9,9,9,0.000000,0.000000,0.000000
126,0,0,0,0,0,0.000000,0.000000,0.000000
127,0,0,0,0,0,0.000000,0.000000,0.000000
128,1,1,1,1,1,0.000000,0.000000,0.000000
